ID,Given String,Predicted Continuation,Full Method
1,"['String', 'function']","[('(', 1.0), ('java', 0.016425), ('.', 1.0), ('util', 0.2944915254237288), ('.', 1.0), (')', 'Paren balancing')]",String function ( java . util . )
2,"['com', '.']","[('liferay', 0.6642771804062126), ('.', 1.0), ('contacts', 0.0044964028776978415), ('.', 0.8333333333333334), ('model', 0.625), ('.', 0.9758269720101781), ('PasswordPolicyRel', 0.008939974457215836), ('function', 0.5714285714285714), ('(', 1.0), (')', 0.4331875), ('{', 0.4514930171549086), ('synchronized', 0.0035758752925942527), ('(', 1.0), ('mutex', 0.03640256959314775), (')', 1.0), ('{', 1.0), ('String', 0.012560386473429951), ('loc0', 0.7989337395277989), ('=', 0.8699520876112252), ('=', 0.06817233776294619), ('}', 'Bracket balancing'), ('}', 'Bracket balancing')]",com . liferay . contacts . model . PasswordPolicyRel function ( ) { synchronized ( mutex ) { String loc0 = = ) )
3,"['void', 'function']","[('(', 1.0), (')', 0.4331875), ('{', 0.4514930171549086), ('return', 0.37874396135265703), ('Lambda', 5.0716368708000506e-05), ('.', 1.0), ('index', 0.3333333333333333), ('=', 0.5), ('-', 0.047619047619047616), ('1', 0.8385093167701864), ('}', 'Bracket balancing')]",void function ( ) { return Lambda . index = - 1 )
4,"['BigInteger', 'function']","[('(', 1.0), (')', 0.4331875), ('{', 0.4514930171549086), ('this', 0.10428806215448977), ('.', 1.0), ('}', 'Bracket balancing')]",BigInteger function ( ) { this . )
5,"['int', 'function']","[('(', 1.0), ('@', 0.0082), ('Nonnull', 0.15022761760242792), ('final', 0.7357142857142858), ('LogMessage', 0.009708737864077669), ('arg0', 1.0), (')', 1.0), ('{', 0.6710117196842861), ('return', 0.37874396135265703), ('Result', 5.0716368708000506e-05), ('.', 1.0), ('empty', 0.14285714285714285), ('(', 1.0), (')', 1.0), (';', 0.28056119955762454), ('}', 0.581206452349828), ('startQueueWorker', 0.00013887602999722247), ('(', 1.0), (')', 1.0), ('{', 0.4514930171549086), ('return', 0.37874396135265703), ('false', 0.024572080639026245), (';', 1.0), ('}', 0.760119940029985), ('finally', 0.007545597629849088), ('{', 1.0), ('loc0', 0.15763546798029557), ('.', 0.426224010731053), ('valueToStringImpl', 8.526603001364257e-05), ('(', 1.0), ('arg1', 1.0), (')', 0.46377404830126895), (';', 0.3243733620052416), ('}', 'Bracket balancing')]",int function ( @ Nonnull final LogMessage arg0 ) { return Result . empty ( ) ; } startQueueWorker ( ) { return false ; } finally { loc0 . valueToStringImpl ( arg1 ) ; )
6,"['com', '.']","[('intellij', 0.006571087216248507), ('.', 1.0), ('tasks', 1.0), ('.', 0.8461538461538461), ('mantis', 0.7333333333333333), ('.', 1.0), ('model', 1.0), ('.', 0.9758269720101781), ('ShoppingItemField', 0.006385696040868455), ('>', 0.6), ('function', 1.0), ('(', 1.0), ('String', 0.1412), ('arg0', 0.9107784931850489), (',', 0.2893525864804824), ('Model', 0.0002754820936639118), ('arg1', 0.75), (')', 1.0), ('{', 0.5701229756064781), ('throw', 0.024483291000547837), ('}', 'Bracket balancing')]","com . intellij . tasks . mantis . model . ShoppingItemField > function ( String arg0 , Model arg1 ) { throw )"
7,"['void', 'function']","[('(', 1.0), (')', 0.4331875), ('{', 0.4514930171549086), ('final', 0.010229593107226456), ('byte', 0.023607176581680833), ('[', 0.8657718120805369), (']', 0.8702776513427402), ('function', 0.25931278098908156), ('(', 1.0), ('String', 0.1412), ('arg0', 0.9107784931850489), (')', 0.7086639162170739), ('{', 0.6710117196842861), ('return', 0.37874396135265703), ('false', 0.024572080639026245), (';', 1.0), ('}', 0.760119940029985), ('catch', 0.08480696231830386), ('(', 1.0), ('IOException', 0.13448802852776362), ('loc2', 0.05514705882352941), (')', 0.9375), (';', 0.5934959349593496), ('}', 0.581206452349828), ('return', 0.2501157300249977), ('loc0', 0.2975956449417813), (';', 0.6818704484476811), ('currentPerformance', 0.00020729684908789387), ('=', 1.0), ('performance', 1.0), ('(', 1.0), ('allBuildsTime', 1.0), (',', 1.0), ('memory', 1.0), (')', 1.0)]","void function ( ) { final byte [ ] function ( String arg0 ) { return false ; } catch ( IOException loc2 ) ; } return loc0 ; currentPerformance = performance ( allBuildsTime , memory )"
8,"['void', 'function']","[('(', 1.0), ('String', 0.1412), ('arg0', 0.9107784931850489), (',', 0.2893525864804824), ('Object', 0.023507805325987143), ('arg1', 0.34292972057578325), (')', 0.788546255506608), (';', 0.3243733620052416)]","void function ( String arg0 , Object arg1 ) ;"
9,"['List', '<']","[('String', 0.18903868698710433), ('>', 0.5940044411547002), ('function', 0.3599615014436959), ('(', 1.0), (')', 0.4331875), ('{', 0.4514930171549086), ('arg1', 0.002838786792170925), ('.', 0.5933147632311978), ('height', 0.00938337801608579), (',', 0.29591836734693877), ('this', 0.1), ('.', 0.6946902654867256), ('metadataTable', 5.3475935828877e-05), (';', 1.0), ('}', 1.0), ('return', 0.2501157300249977), ('true', 0.03871162861031302), (';', 1.0), ('else', 0.010135135135135136), ('loc0', 0.07221006564551423), ('+', 0.2972972972972973), ('+', 0.4566181127295757), ('loc0', 0.020023557126030624), (';', 0.11363636363636363), ('if', 0.03171641791044776), ('(', 1.0), ('loc2', 0.013748148148148148), ('.', 0.14757103574702107), ('height', 0.0055762081784386614), (')', 0.24489795918367346), ('mask', 0.02631578947368421), ('[', 1.0), ('loc3', 0.6666666666666666), ('*', 0.01020408163265306), ('arg0', 0.14285714285714285), ('.', 0.4147465437788018), ('replaceAll', 0.0031699396938302147), ('(', 0.9354838709677419), ('""', 0.7816091954022989), ('srini_string', 1.0), ('""', 1.0), (')', 0.4776894674259966), (';', 0.7920869906982838), ('for', 0.016067417156346377), ('(', 1.0), ('int', 0.48211988680216106), ('arg0', 0.6284711626487641), (')', 0.7018255578093306), ('{', 0.6710117196842861), ('return', 0.37874396135265703), ('new', 0.07924432610625079), ('HashSet', 0.004513540621865597), ('<', 0.8841463414634146), ('ChannelSftp', 0.01092896174863388), ('>', 1.0), ('(', 0.5), (')', 0.5903614457831325), ('{', 0.4514930171549086), ('arg0', 0.012102196324518153), ('.', 0.707681849082257), ('}', 'Bracket balancing'), ('}', 'Bracket balancing')]","List < String > function ( ) { arg1 . height , this . metadataTable ; } return true ; else loc0 + + loc0 ; if ( loc2 . height ) mask [ loc3 * arg0 . replaceAll ( "" srini_string "" ) ; for ( int arg0 ) { return new HashSet < ChannelSftp > ( ) { arg0 . ) )"
10,"['void', 'function']","[('(', 1.0), ('List', 0.0066375), (')', 0.05110732538330494), ('ObjectUtilities', 0.02631578947368421), ('.', 1.0), ('deepClone', 0.2), ('(', 1.0), ('this', 0.6666666666666666), ('.', 0.6189507930052867), ('repositories', 0.000213903743315508), (')', 0.25), ('{', 1.0), ('return', 0.37874396135265703), ('readVLong', 2.5358184354000253e-05), ('(', 1.0), ('arg0', 0.75), (')', 0.4486012470407789), ('{', 0.6710117196842861), ('return', 0.37874396135265703), ('recoveryPolicy', 2.5358184354000253e-05), ('}', 'Bracket balancing'), ('}', 'Bracket balancing')]",void function ( List ) ObjectUtilities . deepClone ( this . repositories ) { return readVLong ( arg0 ) { return recoveryPolicy ) )
11,"['String', 'function']","[('(', 1.0), (')', 0.4331875), (';', 0.28056119955762454), ('if', 0.05358344015331311), ('(', 1.0), ('arg0', 0.2232888888888889), (')', 0.4486012470407789), (';', 0.2480267878497967), ('tsMap', 1.2691482745929207e-05), ('.', 1.0), ('remove', 1.0)]",String function ( ) ; if ( arg0 ) ; tsMap . remove
12,"['com', '.']","[('amazonaws', 0.13261648745519714), ('.', 1.0), ('internal', 1.0), ('.', 1.0), ('SdkInternalList', 0.7136563876651982), ('<', 1.0), ('Message', 0.006172839506172839), ('<', 0.13636363636363635), ('?', 0.6153846153846154), ('extends', 0.2748041775456919), ('Number', 0.012738853503184714)]",com . amazonaws . internal . SdkInternalList < Message < ? extends Number
13,"['BooleanSubscription', 'function']","[('(', 1.0), (')', 0.4331875), ('{', 0.4514930171549086), ('FacesContext', 0.0010159868519348573), ('loc0', 0.4857142857142857), ('=', 1.0), ('children', 0.0004767296347059174), ('.', 0.9), ('}', 'Bracket balancing')]",BooleanSubscription function ( ) { FacesContext loc0 = children . )
14,"['float', 'function']","[('(', 1.0), ('DoubleConsumer', 1.25e-05), ('arg0', 1.0), (')', 1.0), (',', 0.007015865422945069), ('arg1', 0.1506849315068493), (',', 0.3861859252823632), ('loc0', 0.022323571771483437), (',', 0.1644927536231884), ('arg2', 0.04923239809422975), (',', 0.4210868857793687), ('int', 0.08241170174812701), ('arg1', 0.6061050777810391), (',', 0.4297929792979298), ('UIXHierarchy', 0.00012001920307249159), ('arg2', 1.0)]","float function ( DoubleConsumer arg0 ) , arg1 , loc0 , arg2 , int arg1 , UIXHierarchy arg2"
15,"['ProgressGetResponseVerb', 'function']",[],ProgressGetResponseVerb function
16,"['TextAttributesKey', 'function']","[('(', 1.0), ('Collator', 2.5e-05), ('arg0', 1.0), (',', 1.0), ('String', 0.1318181818181818), (')', 'Paren balancing')]","TextAttributesKey function ( Collator arg0 , String )"
17,"['boolean', 'function']","[('(', 1.0), ('WaitOptions', 1.25e-05), ('arg0', 1.0), (')', 1.0), ('{', 0.6710117196842861), ('}', 'Bracket balancing')]",boolean function ( WaitOptions arg0 ) { )
18,"['void', 'function']","[('(', 1.0), ('String', 0.1412), (')', 'Paren balancing')]",void function ( String )
19,"['int', 'function']","[('(', 1.0), (')', 0.4331875), ('+', 0.01238394074226486), ('""', 0.5495841330774153), ('srini_string', 1.0)]","int function ( ) + "" srini_string"
20,"['void', 'function']","[('(', 1.0), ('Users', 3.75e-05), ('arg0', 1.0), (')', 1.0), ('{', 0.6710117196842861), ('this', 0.10428806215448977), ('.', 1.0), ('comments', 0.00032085561497326203), ('=', 0.8333333333333334), ('arg0', 0.8333333333333334), (';', 0.7737393355066935), ('}', 'Bracket balancing')]",void function ( Users arg0 ) { this . comments = arg0 ; )
21,"['Document', 'function']","[('(', 1.0), (')', 0.4331875), (';', 0.28056119955762454), ('if', 0.05358344015331311), ('(', 1.0), (')', 'Paren balancing')]",Document function ( ) ; if ( )
